*	S_lycopersicum.ctrl1.1	S_lycopersicum.ctrl1.2	S_lycopersicum.ctrl1.3	S_lycopersicum.N..1	S_lycopersicum.N..2	S_lycopersicum.N..3	S_lycopersicum.eL.1	S_lycopersicum.eL.2	S_lycopersicum.eL.3	S_lycopersicum.cold.1	S_lycopersicum.cold.2	S_lycopersicum.cold.3	S_lycopersicum.N.eL.1	S_lycopersicum.N.eL.2	S_lycopersicum.N.eL.3	S_lycopersicum.N.cold.1	S_lycopersicum.N.cold.2	S_lycopersicum.N.cold.3	S_lycopersicum.N.coldeL.1	S_lycopersicum.N.coldeL.2	S_lycopersicum.N.coldeL.3	S_lycopersicum.ctrl2.1	S_lycopersicum.ctrl2.2	S_lycopersicum.ctrl2.3	S_lycopersicum.warm.1	S_lycopersicum.warm.2	S_lycopersicum.warm.3	S_lycopersicum.ctrl3.1	S_lycopersicum.ctrl3.2	S_lycopersicum.ctrl3.3	S_lycopersicum.eLcold.1	S_lycopersicum.eLcold.2	S_lycopersicum.eLcold.3
S_lycopersicum.ctrl1.1	0	0.812513437461988	0.600828429129681	0.787415535721009	0.799807703441858	0.717757333898849	0.770584025355325	0.949742921931887	0.99802624195838	0.941251105704658	0.904723213281173	0.859135605738148	0.81936849336496	0.929713001856238	0.655705851870967	0.84684625051783	0.62263214862684	0.633535172764544	0.706541520482544	0.847014274714556	0.621302333545938	0.874027525975198	0.772626722362742	0.735215060382757	0.924886807818183	0.826479668338352	0.968277602389225	0.566150068670894	0.744218967315247	0.639869330381081	0.999613996395954	0.978671065433162	0.939245660237248
S_lycopersicum.ctrl1.2	0.812513437461988	0	0.512652690493667	0.653368148360287	0.633479161683055	0.740492153393232	0.630619444155929	0.594124008008824	0.5418695977155	0.695957485487999	0.466500474296865	0.741527530728265	0.594769756415046	0.599853933856223	0.660843154281059	0.821217644969297	0.601695331838705	0.71588020908602	0.547936970179022	0.542981242737357	0.572802853863914	0.919821591555244	0.944373428433881	0.808914254726608	0.806804668733761	0.830698773453329	0.734437159939665	0.831610845830621	0.679012803017638	0.807943769441354	0.865575472399381	0.82609702106106	0.889336384644564
S_lycopersicum.ctrl1.3	0.600828429129681	0.512652690493667	0	0.642726801620951	0.635279787168521	0.665281126672721	0.563990346322113	0.859540874459798	0.747808545470507	0.715127649533811	0.76730056752151	0.713270391720835	0.660823099787672	0.70588373724878	0.621153634722679	0.798530566837056	0.556557467811063	0.623328121614702	0.557572850777247	0.602502215891827	0.553464962357105	0.836678281531205	0.915432224756539	0.703322210374501	0.83291811090482	0.933262385378953	0.790227142237096	0.712757308028161	0.630094614641723	0.58417598305548	0.854132757754165	0.806784729422663	0.827352483879152
S_lycopersicum.N..1	0.787415535721009	0.653368148360287	0.642726801620951	0	0.487925152957534	0.505811998260267	0.695206961456133	0.789056391818449	0.702091988333928	0.695386170104936	0.690550092751004	0.68218674633033	0.598951488906873	0.629990486081135	0.666391130942861	0.674550827515485	0.654442167830019	0.675870329363579	0.597995157045865	0.702524132736187	0.694979619867256	0.791678077974651	0.899850016400132	0.714385044254661	0.903597889688041	0.854838742667226	0.949332620913345	0.75084913537722	0.682515796826335	0.697829631234309	0.680340913758725	0.664078706317983	0.647489727508153
S_lycopersicum.N..2	0.799807703441858	0.633479161683055	0.635279787168521	0.487925152957534	0	0.518026151810985	0.710243199793974	0.783336489215461	0.694140505646695	0.659131372486667	0.63847179126429	0.674393808662876	0.583084664699114	0.639322041239101	0.743166875103679	0.717170406139254	0.678994808002218	0.722966490377639	0.661482321095146	0.702403963498162	0.733010037919263	0.898354756745674	0.933499152754565	0.765599756026174	0.955597572846095	0.913560576700234	0.9816520875834	0.797133770335854	0.747372215895101	0.761885105669953	0.655271741114694	0.639109785371886	0.662825382731359
S_lycopersicum.N..3	0.717757333898849	0.740492153393232	0.665281126672721	0.505811998260267	0.518026151810985	0	0.757501134486884	0.895616596056051	0.787629044373308	0.785460354867492	0.800583258822288	0.741206501532029	0.676529337339059	0.75820093726786	0.702706719799325	0.760755081393299	0.664099059667626	0.650346804465713	0.753449236798226	0.865964578212996	0.698469795205346	0.862536022556142	0.828130729049871	0.740930256283066	0.888076473723035	0.775776384232371	0.858370995499015	0.742719501386556	0.819026157332197	0.768337831098002	0.75796866714964	0.730158006188658	0.698581780628541
S_lycopersicum.eL.1	0.770584025355325	0.630619444155929	0.563990346322113	0.695206961456133	0.710243199793974	0.757501134486884	0	0.871800284787772	0.762136281231065	0.664090796396054	0.794492398110849	0.709736597657053	0.725245662313359	0.727920140874685	0.625862354700713	0.766753539956228	0.590183118823306	0.690489292601684	0.562490425086872	0.586138874933172	0.634083001564422	0.837242122803747	0.97392829540576	0.709573896858505	0.821448358851645	0.83195171177878	0.705828893435162	0.801959616579099	0.624032941242228	0.680090416111873	0.713077093180236	0.698221698228248	0.723275397801367
S_lycopersicum.eL.2	0.949742921931887	0.594124008008824	0.859540874459798	0.789056391818449	0.783336489215461	0.895616596056051	0.871800284787772	0	0.493836841194373	0.986209755738155	0.531739226149196	0.952941408035739	0.872369602904096	0.813408618791315	0.742169436939822	0.946157589819636	0.753655444864649	0.799320070754822	0.741733958596673	0.715834707823862	0.769389466831829	0.946137324690673	0.887529852185729	0.951795154261041	0.900692905246173	0.843020872732209	0.831459554895816	0.946137115466342	0.977856870465457	0.976398242405502	0.942390701748286	0.939241064226224	0.914291669417127
S_lycopersicum.eL.3	0.99802624195838	0.5418695977155	0.747808545470507	0.702091988333928	0.694140505646695	0.787629044373308	0.762136281231065	0.493836841194373	0	0.843932983026892	0.519030285536427	0.902725431520935	0.706877039172623	0.696582537991808	0.720693295668382	0.874332737550569	0.691352152505574	0.777125291616811	0.651697193667499	0.654897165383626	0.684565953291967	0.999139108336717	0.899213858023431	0.945907015243733	0.875146234375598	0.852348476444588	0.808351074093443	0.914771795186487	0.915170520387646	0.996410571143895	0.961080615510771	0.944692002581474	0.98008254577107
S_lycopersicum.cold.1	0.941251105704658	0.695957485487999	0.715127649533811	0.695386170104936	0.659131372486667	0.785460354867492	0.664090796396054	0.986209755738155	0.843932983026892	0	0.549112590295573	0.456275101799012	0.52504239235508	0.522047579032765	0.81487067046339	0.610502651102877	0.773742034251653	0.929946811711799	0.653777581210103	0.63803213380951	0.824935390276515	0.955931282213299	0.752879907980192	0.787834967666362	0.733912229237032	0.719721797090831	0.661441317463676	0.966650021495324	0.636787194046979	0.798256791338922	0.433793338579131	0.395214089353165	0.540974628791971
