*	S_lycopersicum.ctrl1.1	S_lycopersicum.ctrl1.2	S_lycopersicum.ctrl1.3	S_lycopersicum.N..1	S_lycopersicum.N..2	S_lycopersicum.N..3	S_lycopersicum.eL.1	S_lycopersicum.eL.2	S_lycopersicum.eL.3	S_lycopersicum.cold.1	S_lycopersicum.cold.2	S_lycopersicum.cold.3	S_lycopersicum.N.eL.1	S_lycopersicum.N.eL.2	S_lycopersicum.N.eL.3	S_lycopersicum.N.cold.1	S_lycopersicum.N.cold.2	S_lycopersicum.N.cold.3	S_lycopersicum.N.coldeL.1	S_lycopersicum.N.coldeL.2	S_lycopersicum.N.coldeL.3	S_lycopersicum.ctrl2.1	S_lycopersicum.ctrl2.2	S_lycopersicum.ctrl2.3	S_lycopersicum.warm.1	S_lycopersicum.warm.2	S_lycopersicum.warm.3	S_lycopersicum.ctrl3.1	S_lycopersicum.ctrl3.2	S_lycopersicum.ctrl3.3	S_lycopersicum.eLcold.1	S_lycopersicum.eLcold.2	S_lycopersicum.eLcold.3
S_lycopersicum.ctrl1.1	1	0.187486562538012	0.399171570870319	-0.212584464278991	-0.200192296558141	-0.282242666101151	0.229415974644675	-0.0502570780681128	0.00197375804162047	0.0587488942953424	-0.0952767867188266	0.140864394261852	-0.18063150663504	-0.0702869981437622	-0.344294148129033	-0.15315374948217	-0.37736785137316	-0.366464827235456	-0.293458479517456	-0.152985725285444	-0.378697666454062	0.125972474024802	0.227373277637258	0.264784939617243	-0.0751131921818172	0.173520331661649	-0.0317223976107752	0.433849931329106	0.255781032684753	0.360130669618919	-0.000386003604045523	0.0213289345668379	0.0607543397627525
S_lycopersicum.ctrl1.2	0.187486562538012	1	0.487347309506333	-0.346631851639713	-0.366520838316945	-0.259507846606768	0.369380555844071	0.405875991991176	0.4581304022845	0.304042514512001	0.533499525703135	0.258472469271735	-0.405230243584954	-0.400146066143777	-0.339156845718941	-0.178782355030703	-0.398304668161295	-0.28411979091398	-0.452063029820979	-0.457018757262643	-0.427197146136086	0.0801784084447561	-0.0556265715661191	0.191085745273392	-0.193195331266239	-0.169301226546671	-0.265562840060335	0.168389154169379	0.320987196982362	0.192056230558646	0.134424527600619	0.17390297893894	0.110663615355436
S_lycopersicum.ctrl1.3	0.399171570870319	0.487347309506333	1	-0.357273198379049	-0.364720212831479	-0.334718873327279	0.436009653677887	0.140459125540202	0.252191454529493	0.284872350466189	0.23269943247849	0.286729608279165	-0.339176900212328	-0.29411626275122	-0.378846365277321	-0.201469433162944	-0.443442532188937	-0.376671878385298	-0.442427149222752	-0.397497784108173	-0.446535037642895	0.163321718468795	0.0845677752434607	0.296677789625499	-0.16708188909518	-0.0667376146210465	-0.209772857762904	0.287242691971839	0.369905385358277	0.41582401694452	0.145867242245835	0.193215270577337	0.172647516120848
S_lycopersicum.N..1	-0.212584464278991	-0.346631851639713	-0.357273198379049	1	0.512074847042466	0.494188001739733	-0.304793038543867	-0.210943608181551	-0.297908011666072	-0.304613829895064	-0.309449907248996	-0.31781325366967	0.401048511093127	0.370009513918865	0.333608869057139	0.325449172484515	0.345557832169981	0.324129670636421	0.402004842954134	0.297475867263813	0.305020380132744	-0.208321922025349	-0.100149983599868	-0.285614955745339	-0.0964021103119592	-0.145161257332774	-0.0506673790866546	-0.24915086462278	-0.317484203173665	-0.302170368765691	-0.319659086241275	-0.335921293682017	-0.352510272491847
S_lycopersicum.N..2	-0.200192296558141	-0.366520838316945	-0.364720212831479	0.512074847042466	1	0.481973848189015	-0.289756800206026	-0.216663510784539	-0.305859494353305	-0.340868627513333	-0.36152820873571	-0.325606191337124	0.416915335300886	0.360677958760899	0.256833124896321	0.282829593860746	0.321005191997782	0.277033509622361	0.338517678904854	0.297596036501838	0.266989962080737	-0.101645243254326	-0.0665008472454354	-0.234400243973826	-0.0444024271539048	-0.0864394232997662	-0.0183479124165998	-0.202866229664146	-0.252627784104899	-0.238114894330047	-0.344728258885306	-0.360890214628114	-0.337174617268641
S_lycopersicum.N..3	-0.282242666101151	-0.259507846606768	-0.334718873327279	0.494188001739733	0.481973848189015	1	-0.242498865513116	-0.104383403943949	-0.212370955626692	-0.214539645132508	-0.199416741177712	-0.258793498467971	0.323470662660941	0.24179906273214	0.297293280200675	0.239244918606701	0.335900940332374	0.349653195534287	0.246550763201774	0.134035421787004	0.301530204794654	-0.137463977443858	-0.171869270950129	-0.259069743716934	-0.111923526276965	-0.224223615767629	-0.141629004500985	-0.257280498613444	-0.180973842667804	-0.231662168901998	-0.24203133285036	-0.269841993811342	-0.301418219371459
S_lycopersicum.eL.1	0.229415974644675	0.369380555844071	0.436009653677887	-0.304793038543867	-0.289756800206026	-0.242498865513116	1	0.128199715212228	0.237863718768935	0.335909203603946	0.205507601889151	0.290263402342947	-0.274754337686641	-0.272079859125315	-0.374137645299287	-0.233246460043772	-0.409816881176694	-0.309510707398316	-0.437509574913128	-0.413861125066828	-0.365916998435578	0.162757877196253	0.0260717045942399	0.290426103141495	-0.178551641148355	-0.16804828822122	-0.294171106564838	0.198040383420901	0.375967058757772	0.319909583888127	0.286922906819764	0.301778301771752	0.276724602198633
S_lycopersicum.eL.2	-0.0502570780681128	0.405875991991176	0.140459125540202	-0.210943608181551	-0.216663510784539	-0.104383403943949	0.128199715212228	1	0.506163158805627	0.0137902442618454	0.468260773850804	-0.0470585919642612	-0.127630397095903	-0.186591381208685	-0.257830563060178	-0.0538424101803637	-0.246344555135351	-0.200679929245178	-0.258266041403327	-0.284165292176138	-0.230610533168171	-0.0538626753093269	-0.112470147814271	-0.0482048457389587	-0.0993070947538275	-0.156979127267791	-0.168540445104184	0.0538628845336583	0.0221431295345428	-0.0236017575944976	-0.0576092982517137	-0.0607589357737761	-0.0857083305828729
S_lycopersicum.eL.3	0.00197375804162047	0.4581304022845	0.252191454529493	-0.297908011666072	-0.305859494353305	-0.212370955626692	0.237863718768935	0.506163158805627	1	0.156067016973108	0.480969714463573	0.0972745684790653	-0.293122960827377	-0.303417462008192	-0.279306704331618	-0.125667262449431	-0.308647847494426	-0.222874708383189	-0.348302806332501	-0.345102834616374	-0.315434046708033	0.000860891663283245	-0.100786141976569	0.0540929847562667	-0.124853765624402	-0.147651523555412	-0.191648925906557	0.0852282048135128	0.0848294796123542	-0.0035894288561048	0.0389193844892289	0.0553079974185265	0.0199174542289299
S_lycopersicum.cold.1	0.0587488942953424	0.304042514512001	0.284872350466189	-0.304613829895064	-0.340868627513333	-0.214539645132508	0.335909203603946	0.0137902442618454	0.156067016973108	1	0.450887409704427	0.543724898200988	-0.47495760764492	-0.477952420967235	-0.18512932953661	-0.389497348897123	-0.226257965748347	-0.0700531882882009	-0.346222418789897	-0.36196786619049	-0.175064609723485	-0.0440687177867005	-0.247120092019808	0.212165032333638	-0.266087770762968	-0.280278202909169	-0.338558682536324	0.0333499785046757	0.363212805953021	0.201743208661078	0.566206661420869	0.604785910646835	0.459025371208029
